Annual Turnover,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Ambience,Lively,Service,Comfortablility,Privacy,Cuisine1,Cuisine2
32500000,143,0,733736,79.0,2,62.2,0,1,1,1,2.0,0,2,3,0,6,4,4,4,5,9.0,5.0,3.0,4.0,8.0,7,4,3,6,2,18
32000000,15,0,732878,91.2,1,84.63,1,1,1,1,2.0,0,2,3,0,5,4,5,4,5,10.0,4.0,3.0,4.0,6.0,8,6,3,7,2,18
20000000,0,0,733999,75.67,1,74.4,1,0,0,1,2.0,0,0,3,0,5,3,5,4,8,10.0,4.0,3.0,4.0,4.0,5,2,4,4,2,18
19000000,72,1,734155,79.0,1,95.2,1,1,1,1,2.0,0,16,3,0,10,3,4,4,7,9.0,4.0,3.0,4.0,6.0,5,3,5,1,6,6
18000000,15,1,732152,70.0,1,43.42,1,1,1,0,2.0,0,16,1,1,6,3,3,2,8,10.0,4.0,3.0,4.0,5.0,2,1,3,0,10,9
33500000,72,1,734677,79.0,1,90.0,1,1,1,0,2.0,0,2,3,1,7,6,5,6,7,7.0,4.0,3.0,3.0,7.0,8,5,2,5,9,20
43500000,63,0,733828,86.8,2,82.8,0,1,1,1,2.0,0,2,3,0,3,5,5,5,5,10.0,5.0,3.0,4.0,7.0,9,3,5,6,12,22
34500000,15,1,732707,90.88,1,82.5,0,1,1,1,2.0,0,2,2,0,9,4,3,4,7,9.0,5.0,3.0,4.0,8.0,7,1,7,9,3,11
30000000,15,1,734530,76.8,1,83.0,1,1,1,1,2.0,0,16,3,0,1,5,5,6,7,9.0,4.0,4.0,4.0,8.0,9,6,3,5,2,18
14500000,133,1,734883,84.0,2,68.0,1,1,1,1,2.0,0,16,3,0,2,5,5,3,9,7.0,3.0,2.0,4.0,7.0,8,7,3,6,1,4
22000000,63,1,734295,64.0,2,74.0,0,0,1,0,2.0,0,0,2,0,8,4,3,4,6,8.0,3.0,3.0,3.0,0.0,3,5,4,5,1,4
53000000,72,1,733314,84.0,1,74.05,0,1,1,1,2.0,0,2,3,0,6,4,4,6,8,10.0,4.0,3.0,4.0,6.0,8,4,1,5,2,16
34000000,15,1,734429,77.2,1,86.1,1,1,1,0,2.0,0,2,3,0,7,5,4,4,10,10.0,4.0,3.0,4.0,6.0,9,7,0,7,2,18
36000000,133,0,734024,87.0,2,84.4,0,1,1,1,1.0,0,2,3,1,8,5,4,2,7,8.0,3.0,3.0,4.0,5.0,6,2,6,6,12,22
14500000,98,1,734139,73.0,1,68.4,1,1,0,1,2.0,0,0,3,1,9,5,5,6,9,9.0,4.0,3.0,5.0,5.0,8,3,2,9,13,10
21500000,15,0,733279,79.0,2,74.05,0,1,0,1,2.0,0,2,3,0,7,4,5,4,8,7.0,4.0,3.0,3.0,10.0,9,5,0,9,5,19
35000000,114,0,733660,85.0,2,61.0,1,1,0,0,2.0,0,16,2,0,9,5,4,4,6,9.0,4.0,3.0,4.0,6.0,5,9,2,10,1,4
27000000,72,0,734366,91.5,1,93.8,1,1,1,1,1.0,0,2,3,1,10,3,5,5,8,8.0,4.0,3.0,4.0,4.0,7,5,4,6,2,18
8000000,63,1,734542,77.0,2,85.4,1,0,1,1,2.0,0,16,2,0,9,4,6,4,7,10.0,4.0,3.0,4.0,7.0,8,5,0,6,1,4
33000000,15,1,734042,52.33,1,67.0,1,1,1,1,2.0,2,2,3,0,3,4,5,5,5,10.0,4.0,3.0,4.0,6.0,9,6,5,8,5,19
20000000,0,1,733826,88.0,0,74.05,1,1,0,1,2.0,0,16,3,0,8,5,6,6,9,6.0,4.0,2.0,4.0,7.0,9,5,0,6,5,19
12000000,85,1,733161,66.6,2,68.6,1,1,1,1,2.0,0,23,2,0,1,4,5,4,10,6.0,4.0,3.0,4.0,6.0,7,5,3,8,1,4
14500000,45,1,734244,75.0,2,60.0,1,1,1,1,2.0,0,2,2,0,6,3,5,4,8,7.0,3.0,3.0,3.0,5.0,4,2,1,4,7,20
35000000,15,1,734112,91.4,2,73.0,0,1,1,1,1.0,0,0,3,0,10,5,5,8,7,7.0,5.0,3.0,3.0,6.0,7,3,1,4,5,19
12000000,72,1,734684,59.0,1,87.7,1,1,1,1,2.0,0,16,3,1,5,3,3,3,6,6.0,1.0,2.0,4.0,6.0,2,4,4,0,2,16
38000000,15,0,733043,79.0,1,74.05,1,0,1,1,2.0,0,2,5,0,8,4,5,5,6,7.0,3.0,3.0,4.0,8.0,8,3,4,7,9,20
11000000,38,1,734418,95.8,1,87.16,1,1,1,1,2.0,0,23,3,0,10,4,3,5,8,6.0,4.0,3.0,4.0,5.0,4,5,2,4,5,19
20500000,133,0,734034,85.6,2,82.0,1,1,1,1,2.0,0,2,3,0,8,3,4,4,5,6.0,4.0,3.0,2.0,7.0,8,5,3,8,8,13
9500000,45,1,734164,69.6,1,74.05,1,1,1,0,2.0,0,2,3,0,9,4,4,5,6,9.0,4.0,3.0,4.0,6.0,8,3,7,7,7,20
39000000,15,1,733826,86.6,2,75.0,1,1,1,0,2.0,0,2,3,0,4,5,5,5,8,7.0,4.0,3.0,3.0,1.0,7,5,4,8,2,18
27000000,15,1,733123,81.92,1,61.46,1,1,1,1,2.0,0,0,1,1,10,5,4,4,9,9.0,5.0,3.0,4.0,9.0,10,8,0,9,9,20
6000000,30,0,732715,66.5,2,49.5,0,1,1,1,2.0,2,2,4,0,10,5,5,4,6,9.0,5.0,3.0,4.0,4.0,7,0,6,7,9,20
12000000,72,1,734074,80.0,1,72.5,0,1,1,1,2.0,0,16,1,0,6,5,4,4,10,10.0,4.0,3.0,4.0,6.0,6,2,3,4,13,10
40000000,126,1,734201,85.2,2,81.5,1,1,1,0,2.0,0,2,1,0,10,5,3,4,7,10.0,4.0,3.0,4.0,9.0,7,7,5,7,2,18
35000000,115,1,733985,89.25,1,78.0,1,1,0,1,2.0,0,9,4,1,6,5,5,5,5,10.0,4.0,3.0,4.0,6.0,6,3,0,4,10,9
12000000,131,0,734146,79.0,2,64.8,1,1,1,1,2.0,2,2,4,0,3,4,4,5,8,10.0,4.0,3.0,4.0,7.0,7,3,3,6,4,17
25000000,110,1,734176,90.8,1,90.1,1,1,0,1,2.0,0,2,2,0,9,5,5,5,8,8.0,4.0,3.0,3.0,6.0,8,4,6,6,2,18
24000000,153,0,733233,78.0,2,70.1,1,0,1,1,2.0,0,16,2,0,4,4,5,4,8,10.0,4.0,3.0,4.0,8.0,6,3,2,5,6,23
52500000,72,0,733264,89.88,1,95.4,1,1,0,1,2.0,0,16,4,1,1,5,4,6,7,10.0,4.0,3.0,4.0,7.0,6,3,3,6,14,18
20000000,59,1,733488,63.3,1,61.1,1,1,1,1,2.0,0,16,2,0,2,4,5,6,6,6.0,4.0,2.0,4.0,4.0,5,4,3,4,6,17
12000000,15,1,728957,72.0,2,49.0,1,1,1,0,2.0,0,2,1,0,4,6,4,2,5,8.0,4.0,3.0,4.0,6.0,6,3,3,6,2,18
30500000,38,0,734128,83.0,1,79.0,1,0,0,1,2.0,0,0,3,1,5,4,4,3,10,6.0,3.0,3.0,4.0,6.0,6,5,7,6,2,18
30000000,38,1,734679,85.3,1,88.3,1,1,1,0,2.0,0,2,4,1,6,3,3,3,8,7.0,3.0,3.0,3.0,10.0,10,5,4,8,10,9
14500000,133,0,733828,81.0,2,77.8,0,1,0,0,2.0,0,16,2,0,9,5,5,3,7,7.0,4.0,2.0,4.0,4.0,5,5,2,5,6,17
15000000,28,1,734142,60.66,1,62.4,1,1,1,1,2.0,0,23,2,0,5,3,4,4,7,10.0,3.0,3.0,4.0,2.0,1,0,4,0,5,19
60000000,63,1,732090,79.0,2,83.0,0,1,1,0,1.0,0,0,3,1,7,4,5,6,8,9.0,8.0,3.0,4.0,8.0,7,6,5,7,1,4
31000000,120,1,733738,89.37,1,79.0,1,1,1,1,2.0,0,16,3,0,1,6,5,5,10,7.0,4.0,2.0,4.0,8.0,9,4,1,9,2,18
45500000,15,1,733278,90.0,1,94.4,1,1,0,1,2.0,0,16,3,0,2,5,5,5,7,6.0,6.0,2.0,4.0,6.0,6,5,1,6,2,18
40000000,15,0,733984,81.0,2,79.0,0,1,1,1,2.0,0,16,3,0,10,5,5,5,6,8.0,4.0,3.0,4.0,3.0,0,0,5,3,14,18
15000000,38,0,733114,78.0,1,86.67,1,1,1,1,2.0,0,13,3,1,10,5,4,5,5,9.0,4.0,4.0,4.0,5.0,9,5,3,6,3,24
25000000,110,1,734513,84.4,2,73.2,1,1,0,1,2.0,0,2,3,0,9,5,4,5,10,10.0,4.0,3.0,4.0,6.0,8,5,2,6,7,20
32000000,38,1,734479,89.0,1,92.0,1,0,1,1,2.0,0,9,3,1,8,6,6,6,5,9.0,3.0,3.0,4.0,4.0,4,2,7,2,2,18
25000000,148,1,733739,86.0,1,64.0,1,1,1,1,2.0,0,0,2,0,10,6,5,4,7,9.0,4.0,3.0,5.0,9.0,9,9,2,9,1,4
20000000,15,1,734488,79.0,2,75.0,0,0,1,1,2.0,0,2,2,1,2,6,4,5,5,9.0,4.0,3.0,4.0,9.0,9,5,1,7,3,11
24000000,61,1,734320,75.0,2,64.0,0,0,1,1,2.0,0,2,2,0,5,5,4,4,8,9.0,4.0,3.0,4.0,6.0,8,7,4,5,4,17
12000000,75,0,733989,79.0,1,77.0,0,1,1,1,2.0,0,2,3,0,4,3,5,2,5,6.0,4.0,3.0,1.0,7.0,7,5,4,6,13,10
30000000,15,1,734379,70.6,2,78.67,1,1,0,1,2.0,0,16,3,1,7,5,4,5,6,6.0,2.0,1.0,4.0,8.0,7,2,2,5,9,20
80000000,15,1,733792,93.44,1,90.0,1,1,1,1,2.0,0,2,4,0,8,5,4,6,6,9.0,5.0,3.0,4.0,6.0,8,4,3,7,2,18
12000000,0,1,734181,76.0,1,72.0,0,1,1,0,2.0,0,2,2,0,7,5,3,3,10,6.0,2.0,3.0,4.0,6.0,6,5,4,6,14,18
32500000,120,0,734623,86.4,2,78.2,1,0,1,1,2.0,0,16,3,1,2,5,4,4,6,7.0,3.0,2.0,5.0,8.0,9,7,5,6,2,18
10000000,0,0,734270,86.0,1,95.0,1,1,1,0,2.0,0,16,3,0,3,4,5,4,7,10.0,3.0,3.0,4.0,8.0,6,5,3,8,7,20
30000000,15,1,734402,84.83,2,82.4,1,1,1,0,2.0,0,2,3,0,6,6,5,7,10,10.0,5.0,3.0,4.0,6.0,7,5,0,6,14,18
28000000,131,1,733588,72.3,2,60.2,0,0,1,1,2.0,0,16,2,1,2,5,4,4,8,10.0,4.0,3.0,4.0,9.0,8,4,6,5,2,18
21500000,131,0,732380,69.0,2,62.6,1,0,0,1,2.0,0,9,3,0,5,3,4,4,10,10.0,1.0,3.0,4.0,6.0,7,4,4,8,6,23
14500000,78,1,734825,80.0,1,70.0,1,1,1,0,2.0,0,16,1,1,5,4,4,3,7,9.0,4.0,3.0,4.0,7.0,6,6,7,7,8,13
44500000,143,0,732436,79.0,1,71.33,0,1,0,0,2.0,2,2,2,1,3,3,5,5,5,10.0,4.0,3.0,4.0,2.0,6,2,5,5,10,9
31500000,133,1,734728,86.16,2,70.08,1,1,0,1,2.0,0,16,2,0,3,4,5,5,8,7.0,2.0,2.0,4.0,8.0,9,8,0,7,12,22
10000000,98,0,732623,75.0,1,78.0,1,1,1,1,2.0,0,2,3,1,6,4,4,3,10,8.0,4.0,3.0,4.0,8.0,9,7,2,9,7,20
20000000,133,1,734254,56.0,2,56.0,1,0,1,0,2.0,2,2,2,0,6,6,4,3,6,9.0,5.0,3.0,4.0,8.0,8,5,1,7,7,20
22000000,72,0,734184,87.0,2,60.0,1,1,1,1,2.0,0,2,3,0,3,6,6,4,7,9.0,4.0,3.0,4.0,8.0,9,7,3,9,5,19
37000000,98,1,733768,79.25,1,80.0,1,0,1,1,2.0,0,0,3,0,10,5,5,4,6,10.0,4.0,3.0,4.0,8.0,9,4,2,6,6,17
14500000,143,1,733918,88.66,1,84.33,1,0,1,1,2.0,0,24,2,1,6,4,5,5,9,7.0,3.0,3.0,4.0,9.0,10,7,2,8,10,9
27500000,15,1,733921,80.8,1,75.0,1,1,1,1,2.0,0,16,3,1,4,4,4,3,5,9.0,4.0,3.0,5.0,9.0,5,4,0,6,12,22
150000000,72,1,734136,79.0,1,87.9,1,0,1,1,2.0,0,2,2,1,7,3,4,3,5,7.0,3.0,3.0,3.0,7.0,8,6,2,8,12,22
32500000,63,1,734223,70.0,2,65.0,1,1,1,1,2.0,0,0,2,0,5,4,4,5,6,9.0,4.0,3.0,4.0,7.0,7,3,1,5,2,18
27500000,15,1,733630,79.0,2,68.5,1,1,1,1,2.0,0,16,2,0,7,6,5,3,10,7.0,4.0,2.0,4.0,9.0,9,6,2,6,7,20
42500000,72,0,733624,83.5,1,94.2,1,1,1,0,2.0,0,0,4,0,6,5,4,4,6,10.0,4.0,3.0,4.0,8.0,9,4,5,8,2,16
45000000,15,1,732756,65.0,2,66.0,1,0,1,1,2.0,0,0,2,0,7,5,5,5,8,10.0,4.0,3.0,4.0,5.0,7,2,2,9,2,18
30000000,15,0,734253,88.0,1,88.0,1,1,1,1,2.0,0,2,3,0,9,7,6,6,8,10.0,4.0,3.0,4.0,8.0,9,8,4,7,7,20
47000000,78,1,732955,79.0,2,76.6,1,0,1,1,2.0,0,0,3,1,5,6,4,4,6,10.0,4.0,3.0,4.0,7.0,5,5,2,6,8,13
12000000,0,1,732853,55.6,1,50.8,1,1,0,1,2.0,2,2,4,1,4,4,4,3,7,7.0,4.0,3.0,3.0,6.0,8,7,6,8,10,9
30000000,15,1,734457,75.0,1,72.0,0,1,1,1,2.0,0,0,4,0,4,4,4,4,5,9.0,5.0,3.0,5.0,8.0,9,7,0,6,2,16
20500000,38,1,733101,84.6,1,66.5,1,1,1,1,2.0,0,16,2,1,8,3,2,3,5,6.0,1.0,2.0,4.0,6.0,7,4,4,5,5,19
31000000,143,1,733367,79.0,1,76.4,1,1,1,0,2.0,0,16,2,0,1,6,5,5,10,9.0,3.0,3.0,3.0,10.0,8,8,0,6,2,18
30000000,0,0,733832,62.0,2,61.0,1,1,1,1,2.0,0,2,3,0,2,2,3,3,9,6.0,2.0,3.0,4.0,5.0,8,6,4,10,9,20
46000000,0,1,733500,79.0,1,61.0,1,1,1,1,2.0,3,2,2,0,9,4,5,6,8,10.0,4.0,3.0,4.0,4.0,3,2,3,2,3,11
32000000,0,1,734723,86.0,1,92.0,0,1,1,1,2.0,0,16,3,0,5,3,5,5,9,8.0,4.0,3.0,4.0,8.0,7,4,2,6,10,9
34000000,126,0,734724,85.8,2,65.8,1,0,1,1,2.0,0,0,2,0,8,6,6,7,9,10.0,4.0,3.0,4.0,8.0,9,5,3,7,12,22
12000000,133,1,734360,68.4,1,61.0,0,1,1,1,2.0,0,2,2,1,2,4,3,3,6,7.0,4.0,3.0,3.0,3.0,4,4,5,3,4,17
10000000,133,1,731777,51.0,1,48.0,0,1,0,1,2.0,2,2,1,0,8,2,3,3,7,8.0,4.0,3.0,4.0,7.0,6,5,6,7,3,24
51000000,133,1,734011,79.6,2,73.2,1,1,1,1,2.0,0,16,2,1,8,5,6,6,9,7.0,4.0,2.0,4.0,4.0,7,5,5,6,3,24
30000000,75,1,733379,63.4,1,63.0,1,1,0,1,2.0,0,16,2,0,8,3,3,3,6,10.0,4.0,3.0,4.0,6.0,4,1,3,4,5,19
48000000,120,1,733377,86.53,1,71.55,1,0,0,1,2.0,0,2,3,0,7,5,5,4,5,10.0,4.0,3.0,4.0,6.0,8,6,2,7,8,13
17000000,0,0,733137,76.18,1,86.33,1,0,1,1,2.0,0,2,3,0,8,4,5,3,6,10.0,4.0,3.0,4.0,7.0,9,5,6,9,2,16
34000000,72,1,733875,91.43,2,74.0,1,1,1,1,2.0,0,2,3,1,5,6,4,5,7,6.0,4.0,3.0,2.0,7.0,7,4,2,6,2,18
64000000,15,1,732420,79.0,1,71.3,1,1,1,1,2.0,0,0,2,0,9,4,6,6,6,9.0,5.0,3.0,4.0,6.0,5,5,3,8,9,20
33000000,38,1,734145,76.17,1,72.0,1,1,0,1,2.0,0,2,3,0,5,5,5,6,9,9.0,5.0,3.0,4.0,7.0,5,2,6,3,2,18
22500000,169,1,733761,82.4,2,72.0,0,1,1,1,2.0,0,16,2,0,3,4,5,5,10,7.0,4.0,2.0,4.0,6.0,7,6,5,8,2,18
18000000,133,1,731763,58.0,1,57.6,1,1,1,1,2.0,0,2,2,0,6,2,3,3,6,6.0,3.0,3.0,4.0,8.0,8,4,4,6,7,20
44000000,15,0,733673,79.0,2,83.4,1,1,1,1,2.0,0,16,3,0,7,5,4,5,10,7.0,4.0,3.0,4.0,7.0,8,6,4,6,12,22
30500000,15,0,733660,90.04,1,75.16,1,1,1,1,2.0,0,16,3,0,6,5,4,6,10,8.0,4.0,3.0,4.0,6.0,7,4,4,5,2,18
50000000,63,0,733880,76.0,2,76.6,1,1,1,1,2.0,0,2,3,0,8,5,6,4,6,9.0,5.0,3.0,4.0,1.0,6,6,4,7,2,18
27000000,120,1,732960,60.4,2,60.0,1,1,0,1,2.0,0,16,2,0,4,3,4,3,7,10.0,4.0,3.0,4.0,6.0,7,4,5,8,2,16
30000000,133,1,734527,74.23,1,77.77,0,1,1,1,2.0,0,2,3,0,5,4,4,4,9,9.0,5.0,3.0,4.0,7.0,9,5,4,8,1,4
120000000,108,1,732787,59.8,2,60.25,1,1,1,1,2.0,0,23,2,0,2,5,5,4,6,6.0,4.0,3.0,4.0,7.0,9,7,1,8,2,16
31500000,0,0,733804,79.0,2,89.6,1,1,1,1,2.0,0,16,2,0,1,5,5,3,5,8.0,3.0,3.0,4.0,6.0,4,7,7,8,9,20
30000000,98,1,734211,79.0,2,86.4,1,1,1,1,2.0,0,9,2,0,1,6,3,5,8,9.0,3.0,3.0,4.0,7.0,6,7,5,5,9,20
32000000,131,1,734151,84.2,2,67.0,1,1,0,0,2.0,0,16,2,0,10,4,3,5,10,9.0,4.0,4.0,4.0,4.0,9,5,5,6,5,19
18000000,170,1,733532,86.4,2,80.4,1,1,0,1,2.0,0,2,2,0,1,5,5,6,6,10.0,4.0,3.0,4.0,8.0,8,4,2,7,1,4
67500000,133,1,732983,60.0,1,59.0,1,1,1,0,2.0,0,2,2,0,1,5,5,4,7,10.0,4.0,3.0,4.0,5.0,6,3,2,1,3,11
12000000,136,1,734451,60.8,1,63.0,1,1,1,1,2.0,0,0,2,1,4,4,4,3,5,6.0,3.0,3.0,2.0,7.0,4,6,3,6,2,16
32500000,61,1,734142,82.8,2,73.6,1,1,1,1,2.0,0,2,2,1,8,5,4,5,7,10.0,5.0,3.0,4.0,6.0,7,6,1,6,2,18
35000000,15,1,733877,82.6,2,63.6,1,1,1,1,2.0,0,0,3,0,1,5,5,5,9,10.0,4.0,3.0,4.0,8.0,5,1,1,6,2,18
20500000,72,0,734218,74.0,1,61.1,1,0,0,0,2.0,0,2,3,1,5,5,4,2,10,6.0,2.0,3.0,2.0,9.0,7,6,0,8,6,6
30000000,30,1,733320,89.8,1,66.6,0,0,1,0,2.0,0,16,1,0,7,5,2,4,10,9.0,4.0,3.0,4.0,5.0,6,6,6,7,4,17
32500000,143,0,734314,79.0,1,86.8,1,1,0,1,2.0,0,16,3,1,8,5,5,6,9,9.0,3.0,3.0,4.0,8.0,7,4,1,4,2,16
10500000,0,1,734319,64.66,1,63.0,1,1,0,1,2.0,0,0,2,0,3,3,4,4,9,9.0,4.0,3.0,4.0,7.0,4,1,2,3,6,23
25000000,61,1,733169,78.0,2,77.0,1,1,1,1,2.0,0,16,2,0,4,5,5,5,6,9.0,2.0,4.0,4.0,6.0,7,1,2,9,9,20
34000000,63,1,733368,77.8,2,79.6,1,1,1,1,1.0,0,0,3,1,9,5,4,4,7,10.0,4.0,3.0,4.0,4.0,7,6,5,6,2,18
19500000,42,1,733891,79.6,1,87.58,1,1,1,1,2.0,0,0,0,0,5,3,3,2,7,6.0,2.0,3.0,2.0,8.0,8,5,6,7,12,22
32000000,133,1,734084,89.5,2,81.4,1,1,1,0,2.0,0,23,2,0,5,7,5,5,8,10.0,4.0,3.0,4.0,7.0,7,3,2,7,6,17
36000000,133,1,733923,81.2,2,76.4,1,1,1,1,2.0,0,23,3,0,4,7,6,6,7,10.0,4.0,3.0,4.0,10.0,8,7,0,9,10,9
14500000,0,1,734313,80.0,1,89.0,1,1,1,1,2.0,0,2,2,1,3,3,5,4,8,7.0,2.0,3.0,3.0,8.0,7,4,1,4,9,20
10000000,120,1,734514,78.0,1,62.0,1,1,1,1,2.0,0,11,2,0,6,5,4,4,9,10.0,4.0,3.0,4.0,2.0,6,4,4,3,3,24
32500000,47,1,731956,72.0,2,62.0,1,0,1,1,2.0,0,16,1,1,9,3,3,4,10,7.0,2.0,3.0,4.0,7.0,7,4,3,10,6,17
38500000,0,1,734296,79.0,2,66.66,1,1,1,1,2.0,0,9,2,0,5,5,4,4,6,7.0,4.0,3.0,4.0,7.0,7,5,4,6,6,17
12000000,133,1,734038,60.0,1,47.0,1,1,1,0,2.0,0,0,1,0,4,3,4,3,5,8.0,3.0,3.0,3.0,8.0,6,5,4,7,10,9
23500000,115,0,734172,91.12,1,72.0,0,1,0,0,2.0,0,2,3,1,2,4,4,5,10,9.0,4.0,3.0,5.0,9.0,10,8,0,6,1,4
61500000,133,1,734725,80.0,1,77.2,1,0,0,1,2.0,0,0,3,0,3,4,6,8,8,9.0,6.0,3.0,4.0,3.0,5,5,6,3,12,22
10500000,72,1,734074,73.08,1,71.2,1,0,1,0,2.0,0,16,2,1,6,4,4,4,7,8.0,3.0,3.0,4.0,5.0,5,6,4,3,3,24
29000000,15,0,733531,88.6,2,78.0,1,1,1,1,2.0,0,2,4,1,3,4,5,6,9,6.0,4.0,3.0,2.0,7.0,6,4,6,7,7,20
14500000,105,1,734090,72.0,2,54.0,1,1,0,0,2.0,0,2,2,0,9,3,5,4,10,8.0,3.0,3.0,3.0,4.0,6,6,4,6,7,20
30500000,133,1,733851,79.0,2,80.0,0,1,1,1,2.0,0,16,2,0,3,6,5,6,7,6.0,4.0,1.0,3.0,9.0,5,4,0,6,2,18
27500000,133,0,734331,78.33,2,67.6,1,1,1,1,2.0,0,2,2,0,4,5,6,6,9,8.0,4.0,3.0,4.0,10.0,9,7,0,10,7,20
18000000,72,1,733169,81.33,1,91.9,1,1,1,1,2.0,0,24,3,1,10,3,2,5,7,10.0,2.0,3.0,4.0,6.0,5,4,2,6,13,10
14000000,0,0,732356,79.0,2,67.6,1,1,1,1,2.0,0,16,4,0,4,4,4,5,8,10.0,4.0,3.0,4.0,6.0,6,4,5,5,3,11
12000000,170,1,733722,75.0,2,80.0,0,1,1,0,2.0,0,16,2,0,3,5,5,7,10,9.0,4.0,3.0,4.0,6.0,7,3,1,6,3,11
32000000,30,1,733861,73.0,1,63.1,1,1,1,0,2.0,0,9,3,0,2,3,4,5,9,7.0,4.0,2.0,4.0,8.0,10,6,3,7,10,9
40500000,72,1,733174,77.0,2,60.2,1,1,1,1,2.0,0,0,2,0,1,5,4,5,6,8.0,4.0,3.0,4.0,6.0,2,5,7,3,2,18
32500000,143,1,734492,78.0,2,76.6,1,1,1,1,1.0,0,0,3,0,4,5,5,5,8,9.0,5.0,3.0,5.0,6.0,6,5,2,7,2,16
34000000,98,1,734222,87.0,1,79.0,0,1,1,0,2.0,0,2,3,1,1,5,6,4,5,8.0,4.0,1.0,4.0,1.0,0,0,1,0,1,4
22500000,63,0,733318,72.0,2,69.0,1,1,1,1,2.0,0,2,3,0,9,5,3,3,9,7.0,3.0,3.0,4.0,8.0,7,5,3,8,6,6
20000000,98,1,733687,73.0,1,61.0,1,1,1,1,2.0,0,2,1,0,2,5,3,3,5,10.0,4.0,3.0,4.0,7.0,9,6,3,8,12,22
